RIC,Instrument_Name,Country,Currency,Exchange
DUK,Duke Energy,United States,USD,SMART
DVA,DaVita,United States,USD,SMART
DVN,Devon Energy,United States,USD,SMART
DXCM,Dexcom,United States,USD,SMART
EBAY,eBay Inc.,United States,USD,SMART
ECHO,EchoStar,United States,USD,SMART
ECL,Ecolab,United States,USD,SMART
ED,Consolidated Edison,United States,USD,SMART
EFX,Equifax,United States,USD,SMART
EG,Everest Group,United States,USD,SMART
EIX,Edison International,United States,USD,SMART
EL,Estée Lauder Companies (The),United States,USD,SMART
ELV,Elevance Health,United States,USD,SMART
EME,Emcor,United States,USD,SMART
EMR,Emerson Electric,United States,USD,SMART
EOG,EOG Resources,United States,USD,SMART
EQIX,Equinix,United States,USD,SMART
EQR,Equity Residential,United States,USD,SMART
EQT,EQT Corporation,United States,USD,SMART
ERIE,Erie Indemnity,United States,USD,SMART
ES,Eversource Energy,United States,USD,SMART
ESS,Essex Property Trust,United States,USD,SMART
ETN,Eaton Corporation,United States,USD,SMART
ETR,Entergy,United States,USD,SMART
EVRG,Evergy,United States,USD,SMART
EW,Edwards Lifesciences,United States,USD,SMART
EXC,Exelon,United States,USD,SMART
EXE,Expand Energy,United States,USD,SMART
EXPD,Expeditors International,United States,USD,SMART
EXPE,Expedia Group,United States,USD,SMART
EXR,Extra Space Storage,United States,USD,SMART
F,Ford Motor Company,United States,USD,SMART
FANG,Diamondback Energy,United States,USD,SMART
FAST,Fastenal,United States,USD,SMART
FCX,Freeport-McMoRan,United States,USD,SMART
FDS,FactSet,United States,USD,SMART
FDX,FedEx,United States,USD,SMART
FDXF,FedEx Freight,United States,USD,SMART
FE,FirstEnergy,United States,USD,SMART
FERG,Ferguson Enterprises,United States,USD,SMART
FFIV,"F5, Inc.",United States,USD,SMART
FICO,Fair Isaac,United States,USD,SMART
FIS,Fidelity National Information Services,United States,USD,SMART
FISV,Fiserv,United States,USD,SMART
FITB,Fifth Third Bancorp,United States,USD,SMART
FIX,Comfort Systems USA,United States,USD,SMART
FLEX,Flex Ltd.,United States,USD,SMART
FOX,Fox Corporation (Class B),United States,USD,SMART
FOXA,Fox Corporation (Class A),United States,USD,SMART
FRT,Federal Realty Investment Trust,United States,USD,SMART
FSLR,First Solar,United States,USD,SMART
FTNT,Fortinet,United States,USD,SMART
FTV,Fortive,United States,USD,SMART
GD,General Dynamics,United States,USD,SMART
GDDY,GoDaddy,United States,USD,SMART
GE,GE Aerospace,United States,USD,SMART
GEHC,GE HealthCare,United States,USD,SMART
GEN,Gen Digital,United States,USD,SMART
GEV,GE Vernova,United States,USD,SMART
GILD,Gilead Sciences,United States,USD,SMART
GIS,General Mills,United States,USD,SMART
GL,Globe Life,United States,USD,SMART
GLW,Corning Inc.,United States,USD,SMART
GM,General Motors,United States,USD,SMART
GNRC,Generac,United States,USD,SMART
GOOG,Alphabet Inc. (Class C),United States,USD,SMART
GOOGL,Alphabet Inc. (Class A),United States,USD,SMART
GPC,Genuine Parts Company,United States,USD,SMART
GPN,Global Payments,United States,USD,SMART
GRMN,Garmin,United States,USD,SMART
GS,Goldman Sachs,United States,USD,SMART
GWW,W. W. Grainger,United States,USD,SMART
HAL,Halliburton,United States,USD,SMART
HAS,Hasbro,United States,USD,SMART
HBAN,Huntington Bancshares,United States,USD,SMART
HCA,HCA Healthcare,United States,USD,SMART
HD,Home Depot (The),United States,USD,SMART
HIG,Hartford (The),United States,USD,SMART
HII,Huntington Ingalls Industries,United States,USD,SMART
HLT,Hilton Worldwide,United States,USD,SMART
HON,Honeywell Technologies,United States,USD,SMART
HONA,Honeywell Aerospace,United States,USD,SMART
HOOD,Robinhood Markets,United States,USD,SMART
HPE,Hewlett Packard Enterprise,United States,USD,SMART
HPQ,HP Inc.,United States,USD,SMART
HRL,Hormel Foods,United States,USD,SMART
HSIC,Henry Schein,United States,USD,SMART
HST,Host Hotels & Resorts,United States,USD,SMART
HSY,Hershey Company (The),United States,USD,SMART
HUBB,Hubbell Incorporated,United States,USD,SMART
HUM,Humana,United States,USD,SMART
HWM,Howmet Aerospace,United States,USD,SMART
IBKR,Interactive Brokers,United States,USD,SMART
IBM,IBM,United States,USD,SMART
ICE,Intercontinental Exchange,United States,USD,SMART
IDXX,Idexx Laboratories,United States,USD,SMART
IEX,IDEX Corporation,United States,USD,SMART
IFF,International Flavors & Fragrances,United States,USD,SMART
INCY,Incyte,United States,USD,SMART
INTC,Intel,United States,USD,SMART
INTU,Intuit,United States,USD,SMART
INVH,Invitation Homes,United States,USD,SMART
IP,International Paper,United States,USD,SMART
IQV,IQVIA,United States,USD,SMART
IR,Ingersoll Rand,United States,USD,SMART
IRM,Iron Mountain,United States,USD,SMART
ISRG,Intuitive Surgical,United States,USD,SMART
IT,Gartner,United States,USD,SMART
ITW,Illinois Tool Works,United States,USD,SMART
IVZ,Invesco,United States,USD,SMART
J,Jacobs Solutions,United States,USD,SMART
JBHT,J.B. Hunt,United States,USD,SMART
JBL,Jabil,United States,USD,SMART
JCI,Johnson Controls,United States,USD,SMART
JKHY,Jack Henry & Associates,United States,USD,SMART
JNJ,Johnson & Johnson,United States,USD,SMART
JPM,JPMorgan Chase,United States,USD,SMART
KDP,Keurig Dr Pepper,United States,USD,SMART
KEY,KeyCorp,United States,USD,SMART
KEYS,Keysight Technologies,United States,USD,SMART
KHC,Kraft Heinz,United States,USD,SMART
KIM,Kimco Realty,United States,USD,SMART
KKR,KKR & Co.,United States,USD,SMART
KLAC,KLA Corporation,United States,USD,SMART
KMB,Kimberly-Clark,United States,USD,SMART
KMI,Kinder Morgan,United States,USD,SMART
KO,Coca-Cola Company (The),United States,USD,SMART
KR,Kroger,United States,USD,SMART
KVUE,Kenvue,United States,USD,SMART
L,Loews Corporation,United States,USD,SMART
LDOS,Leidos,United States,USD,SMART
LEN,Lennar,United States,USD,SMART
LH,Labcorp,United States,USD,SMART
LHX,L3Harris,United States,USD,SMART
LII,Lennox International,United States,USD,SMART
LIN,Linde plc,United States,USD,SMART
LITE,Lumentum,United States,USD,SMART
LLY,Lilly (Eli),United States,USD,SMART
LMT,Lockheed Martin,United States,USD,SMART
LNT,Alliant Energy,United States,USD,SMART
LOW,Lowe's,United States,USD,SMART
LRCX,Lam Research,United States,USD,SMART
LULU,Lululemon Athletica,United States,USD,SMART
LUV,Southwest Airlines,United States,USD,SMART
LVS,Las Vegas Sands,United States,USD,SMART
LYB,LyondellBasell,United States,USD,SMART
LYV,Live Nation Entertainment,United States,USD,SMART
MA,Mastercard,United States,USD,SMART
MAA,Mid-America Apartment Communities,United States,USD,SMART
MAR,Marriott International,United States,USD,SMART
MAS,Masco,United States,USD,SMART
MCD,McDonald's,United States,USD,SMART
MCHP,Microchip Technology,United States,USD,SMART
MCK,McKesson Corporation,United States,USD,SMART
MCO,Moody's Corporation,United States,USD,SMART
MDLZ,Mondelez International,United States,USD,SMART
MDT,Medtronic,United States,USD,SMART
MET,MetLife,United States,USD,SMART
META,Meta Platforms,United States,USD,SMART
MGM,MGM Resorts,United States,USD,SMART
MKC,McCormick & Company,United States,USD,SMART
MLM,Martin Marietta Materials,United States,USD,SMART
MMM,3M,United States,USD,SMART
MNST,Monster Beverage,United States,USD,SMART
MO,Altria,United States,USD,SMART
MOS,Mosaic Company (The),United States,USD,SMART
